"","Symbol","Name"
"340","AXLA","Axcella Health Inc."
"341","AXGN","AxoGen, Inc."
"342","AAXN","Axon Enterprise, Inc."
"343","AXNX","Axonics Modulation Technologies, Inc."
"344","AXGT","Axovant Gene Therapies Ltd."
"345","AXSM","Axsome Therapeutics, Inc."
"346","AXTI","AXT Inc"
"347","AYTU","Aytu BioScience, Inc."
"348","AZRX","AzurRx BioPharma, Inc."
"349","BCOM","B Communications Ltd."
"350","RILY","B. Riley Financial, Inc."
"351","RILYG","B. Riley Financial, Inc."
"352","RILYH","B. Riley Financial, Inc."
"353","RILYI","B. Riley Financial, Inc."
"354","RILYL","B. Riley Financial, Inc."
"355","RILYO","B. Riley Financial, Inc."
"356","RILYZ","B. Riley Financial, Inc."
"357","BOSC","B.O.S. Better Online Solutions"
"358","BIDU","Baidu, Inc."
"359","BCPC","Balchem Corporation"
"360","BLDP","Ballard Power Systems, Inc."
"361","BANF","BancFirst Corporation"
"362","BANFP","BancFirst Corporation"
"363","BCTF","Bancorp 34, Inc."
"364","BAND","Bandwidth Inc."
"365","BFC","Bank First National Corporation"
"366","BOCH","Bank of Commerce Holdings (CA)"
"367","BMRC","Bank of Marin Bancorp"
"368","BMLP","Bank Of Montreal"
"369","BKSC","Bank of South Carolina Corp."
"370","BOTJ","Bank of the James Financial Group, Inc."
"371","OZK","Bank OZK"
"372","BSVN","Bank7 Corp."
"373","BFIN","BankFinancial Corporation"
"374","BWFG","Bankwell Financial Group, Inc."
"375","BANR","Banner Corporation"
"376","BZUN","Baozun Inc."
"377","DFVL","Barclays PLC"
"378","DFVS","Barclays PLC"
"379","DLBS","Barclays PLC"
"380","DTUL","Barclays PLC"
"381","DTUS","Barclays PLC"
"382","DTYL","Barclays PLC"
"383","DTYS","Barclays PLC"
"384","FLAT","Barclays PLC"
"385","STPP","Barclays PLC"
"386","TAPR","Barclays PLC"
"387","BBSI","Barrett Business Services, Inc."
"388","GOLD","Barrick Gold Corporation"
"389","BSET","Bassett Furniture Industries, Incorporated"
"390","ZTEST","BATS BZX Exchange"
"391","BCML","BayCom Corp"
"392","BCBP","BCB Bancorp, Inc. (NJ)"
"393","BECN","Beacon Roofing Supply, Inc."
"394","BBGI","Beasley Broadcast Group, Inc."
"395","BBBY","Bed Bath & Beyond Inc."
"396","BGNE","BeiGene, Ltd."
"397","BELFA","Bel Fuse Inc."
"398","BELFB","Bel Fuse Inc."
"399","BLPH","Bellerophon Therapeutics, Inc."
"400","BLCM","Bellicum Pharmaceuticals, Inc."
"401","BNFT","Benefitfocus, Inc."
