"","X.https...finance.yahoo.com.quote.JPM.C.","X.."
"309","https://finance.yahoo.com/quote/MFG","http://www.mizuho-fg.co.jp"
"310","https://finance.yahoo.com/quote/MBT","http://www.ir.mts.ru"
"311","https://finance.yahoo.com/quote/MODN","http://www.modeln.com"
"312","https://finance.yahoo.com/quote/MOD","http://www.modine.com"
"313","https://finance.yahoo.com/quote/MC","http://www.moelis.com"
"314","https://finance.yahoo.com/quote/MOGU","http://www.mogu-inc.com"
"315","https://finance.yahoo.com/quote/MHK","http://www.mohawkind.com"
"316","https://finance.yahoo.com/quote/MOH","http://www.molinahealthcare.com"
"317","https://finance.yahoo.com/quote/TAP","http://www.molsoncoors.com"
"319","https://finance.yahoo.com/quote/MNR","http://www.mreic.reit"
"321","https://finance.yahoo.com/quote/MR","http://www.montageresources.com"
"322","https://finance.yahoo.com/quote/MCO","http://www.moodys.com"
"325","https://finance.yahoo.com/quote/MS","http://www.morganstanley.com"
"332","https://finance.yahoo.com/quote/CAF","http://www.morganstanley.com"
"333","https://finance.yahoo.com/quote/MSD","http://www.morganstanley.com"
"334","https://finance.yahoo.com/quote/EDD","http://www.morganstanley.com"
"335","https://finance.yahoo.com/quote/IIF","http://www.morganstanley.com"
"336","https://finance.yahoo.com/quote/MOSC","http://www.mosaicac.com"
"339","https://finance.yahoo.com/quote/MOS","http://www.mosaicco.com"
"340","https://finance.yahoo.com/quote/MSI","http://www.motorolasolutions.com"
"341","https://finance.yahoo.com/quote/MOV","http://www.movadogroup.com"
"342","https://finance.yahoo.com/quote/MPLX","http://www.mplx.com"
"343","https://finance.yahoo.com/quote/MRC","http://www.mrcglobal.com"
"345","https://finance.yahoo.com/quote/MSA","http://www.msasafety.com"
"346","https://finance.yahoo.com/quote/MSM","http://www.mscdirect.com"
"347","https://finance.yahoo.com/quote/MSCI","http://www.msci.com"
"348","https://finance.yahoo.com/quote/MSGN","http://www.msgnetworks.com"
"349","https://finance.yahoo.com/quote/MLI","http://www.muellerindustries.com"
"350","https://finance.yahoo.com/quote/MWA","http://www.muellerwaterproducts.com"
"351","https://finance.yahoo.com/quote/MVF","http://www.blackrock.com"
"352","https://finance.yahoo.com/quote/MZA","http://www.blackrock.com"
"353","https://finance.yahoo.com/quote/MUR","http://www.murphyoilcorp.com"
"354","https://finance.yahoo.com/quote/MUSA","http://www.murphyusa.com"
"356","https://finance.yahoo.com/quote/MVC","http://www.mvccapital.com"
"358","https://finance.yahoo.com/quote/MYE","http://www.myersindustries.com"
"359","https://finance.yahoo.com/quote/MYOV","http://myovant.com"
"360","https://finance.yahoo.com/quote/NBR","http://www.nabors.com"
"362","https://finance.yahoo.com/quote/NC","http://www.nacco.com"
"363","https://finance.yahoo.com/quote/NTP","http://www.namtai.com"
"368","https://finance.yahoo.com/quote/NBHC","http://www.nationalbankholdings.com"
"369","https://finance.yahoo.com/quote/NFG","http://investor.nationalfuelgas.com"
"370","https://finance.yahoo.com/quote/NGG","http://www.nationalgrid.com"
"371","https://finance.yahoo.com/quote/NHI","http://www.nhireit.com"
"372","https://finance.yahoo.com/quote/NOV","http://www.nov.com"
"373","https://finance.yahoo.com/quote/NPK","http://www.gopresto.com"
"374","https://finance.yahoo.com/quote/NNN","http://www.nnnreit.com"
"378","https://finance.yahoo.com/quote/SID","http://www.csn.com.br"
"379","https://finance.yahoo.com/quote/NSA","http://www.nationalstorageaffiliates.com"
"381","https://finance.yahoo.com/quote/NGS","http://www.ngsgi.com"
"382","https://finance.yahoo.com/quote/NGVC","http://www.naturalgrocers.com"
"383","https://finance.yahoo.com/quote/NRP","http://www.nrplp.com"
"384","https://finance.yahoo.com/quote/NTZ","http://www.natuzzi.com"
"385","https://finance.yahoo.com/quote/NLS","http://www.nautilusinc.com"
"386","https://finance.yahoo.com/quote/NCI","http://www.navigant.com"
"387","https://finance.yahoo.com/quote/NVGS","http://www.navigatorgas.com"
"388","https://finance.yahoo.com/quote/NNA","http://www.navios-acquisition.com"
"392","https://finance.yahoo.com/quote/NMM","http://www.navios-mlp.com"
"393","https://finance.yahoo.com/quote/NAV","http://www.navistar.com"
"395","https://finance.yahoo.com/quote/NCS","http://www.cornerstonebuildingbrands.com"
"396","https://finance.yahoo.com/quote/NCR","http://www.ncr.com"
"397","https://finance.yahoo.com/quote/NP","http://www.neenah.com"
"398","https://finance.yahoo.com/quote/NNI","http://www.nelnet.net"
"399","https://finance.yahoo.com/quote/NPTN","http://www.neophotonics.com"
"400","https://finance.yahoo.com/quote/NETS","http://www.netshoes.com.br"
"401","https://finance.yahoo.com/quote/NVRO","http://www.nevro.com"
"402","https://finance.yahoo.com/quote/HYB","http://www.newamerica-hyb.com"
"403","https://finance.yahoo.com/quote/NFC","http://www.new-frontier.com"
"406","https://finance.yahoo.com/quote/GF","http://fundsus.deutscheam.com"
"407","https://finance.yahoo.com/quote/NWHM","http://www.nwhm.com"
"408","https://finance.yahoo.com/quote/IRL","http://www.newirelandfund.com"
"409","https://finance.yahoo.com/quote/NEWM","http://www.newmediainv.com"
"410","https://finance.yahoo.com/quote/NMFC","http://www.newmountainfinance.com"
"411","https://finance.yahoo.com/quote/NMFX","http://www.newmountainfinance.com"
"412","https://finance.yahoo.com/quote/EDU","http://www.neworiental.org"
"413","https://finance.yahoo.com/quote/NEWR","http://www.newrelic.com"
"414","https://finance.yahoo.com/quote/NRZ","http://www.newresi.com"
"415","https://finance.yahoo.com/quote/SNR","http://www.newseniorinv.com"
"416","https://finance.yahoo.com/quote/NYCB","http://www.mynycb.com"
"419","https://finance.yahoo.com/quote/NYT","http://www.nytco.com"
"420","https://finance.yahoo.com/quote/NJR","http://www.njresources.com"
"421","https://finance.yahoo.com/quote/NEU","http://www.newmarket.com"
"422","https://finance.yahoo.com/quote/NEM","http://www.newmont.com"
"423","https://finance.yahoo.com/quote/NR","http://www.newpark.com"
"424","https://finance.yahoo.com/quote/NEXA","http://www.nexaresources.com"
"425","https://finance.yahoo.com/quote/NXRT","http://www.nexpointliving.com"
"426","https://finance.yahoo.com/quote/NHF","http://www.nexpointadvisors.com"
"427","https://finance.yahoo.com/quote/NEP","http://www.investor.nexteraenergypartners.com"
"428","https://finance.yahoo.com/quote/NEE","http://www.nexteraenergy.com"
"434","https://finance.yahoo.com/quote/NGL","http://www.nglenergypartners.com"
"439","https://finance.yahoo.com/quote/NLSN","http://www.nielsen.com"
"440","https://finance.yahoo.com/quote/NKE","http://www.nike.com"
"441","https://finance.yahoo.com/quote/NINE","http://nineenergyservice.com"
"442","https://finance.yahoo.com/quote/NIO","http://www.nio.io"
"443","https://finance.yahoo.com/quote/NI","http://www.nisource.com"
"445","https://finance.yahoo.com/quote/NL","http://www.nl-ind.com"
"447","https://finance.yahoo.com/quote/NE","http://www.noblecorp.com"
"448","https://finance.yahoo.com/quote/NBL","http://www.nblenergy.com"
"449","https://finance.yahoo.com/quote/NBLX","http://www.nblmidstream.com"
"450","https://finance.yahoo.com/quote/NOK","http://www.nokia.com"
"451","https://finance.yahoo.com/quote/NOMD","http://www.nomadfoods.com"
"452","https://finance.yahoo.com/quote/NMR","http://www.nomura.com"
"453","https://finance.yahoo.com/quote/OSB","http://www.norbord.com"
"454","https://finance.yahoo.com/quote/NAO","http://www.nao.bm"
"455","https://finance.yahoo.com/quote/NAT","http://www.nat.bm"
"456","https://finance.yahoo.com/quote/JWN","http://shop.nordstrom.com"
"457","https://finance.yahoo.com/quote/NSC","http://www.norfolksouthern.com"
"459","https://finance.yahoo.com/quote/NRT","http://www.neort.com"
"460","https://finance.yahoo.com/quote/NOC","http://www.northropgrumman.com"
"461","https://finance.yahoo.com/quote/NRE","http://www.nrecorp.com"
"462","https://finance.yahoo.com/quote/NWN","http://www.nwnatural.com"
"464","https://finance.yahoo.com/quote/NCLH","http://www.ncl.com"
"465","https://finance.yahoo.com/quote/NVS","http://www.novartis.com"
"466","https://finance.yahoo.com/quote/NVO","http://www.novonordisk.com"
"467","https://finance.yahoo.com/quote/DNOW","http://www.distributionnow.com"
"468","https://finance.yahoo.com/quote/NRG","http://www.nrg.com"
"469","https://finance.yahoo.com/quote/NUS","http://www.nuskin.com"
"470","https://finance.yahoo.com/quote/NUE","http://www.nucor.com"
"471","https://finance.yahoo.com/quote/NS","http://www.nustarenergy.com"
"476","https://finance.yahoo.com/quote/NTR","http://www.nutrien.com"
"477","https://finance.yahoo.com/quote/JMLP","http://www.nuveen.com"
"478","https://finance.yahoo.com/quote/NVG","http://www.nuveen.com"
"479","https://finance.yahoo.com/quote/NUV","http://www.nuveen.com"
"480","https://finance.yahoo.com/quote/NUW","http://www.nuveen.com"
"481","https://finance.yahoo.com/quote/NEA","http://www.nuveen.com"
"482","https://finance.yahoo.com/quote/NAZ","http://www.nuveen.com"
"483","https://finance.yahoo.com/quote/NKX","http://www.nuveen.com"
"484","https://finance.yahoo.com/quote/NCB","http://www.nuveen.com"
"485","https://finance.yahoo.com/quote/NCA","http://www.nuveen.com"
"486","https://finance.yahoo.com/quote/NAC","http://www.nuveen.com"
"487","https://finance.yahoo.com/quote/NTC","http://www.nuveen.com"
"488","https://finance.yahoo.com/quote/JCE","http://www.nuveen.com"
"489","https://finance.yahoo.com/quote/JCO","http://www.nuveen.com"
"490","https://finance.yahoo.com/quote/JQC","http://www.nuveen.com"
"491","https://finance.yahoo.com/quote/JDD","http://www.nuveen.com"
"492","https://finance.yahoo.com/quote/DIAX","http://www.nuveen.com"
"494","https://finance.yahoo.com/quote/JMF","http://www.nuveen.com"
"495","https://finance.yahoo.com/quote/NEV","http://www.nuveen.com"
"496","https://finance.yahoo.com/quote/JFR","http://www.nuveen.com"
"497","https://finance.yahoo.com/quote/JRO","http://www.nuveen.com"
"498","https://finance.yahoo.com/quote/NKG","http://www.nuveen.com"
"499","https://finance.yahoo.com/quote/JGH","http://www.nuveen.com"
"500","https://finance.yahoo.com/quote/JHY","http://www.nuveen.com"
"504","https://finance.yahoo.com/quote/NXC","http://www.nuveen.com"
"505","https://finance.yahoo.com/quote/NXN","http://www.nuveen.com"
"506","https://finance.yahoo.com/quote/NID","http://www.nuveen.com"
"507","https://finance.yahoo.com/quote/NMY","http://www.nuveen.com"
"508","https://finance.yahoo.com/quote/NMT","http://www.nuveen.com"
"509","https://finance.yahoo.com/quote/NUM","http://www.nuveen.com"
"510","https://finance.yahoo.com/quote/NMS","http://www.nuveen.com"
"511","https://finance.yahoo.com/quote/NOM","http://www.nuveen.com"
"512","https://finance.yahoo.com/quote/JLS","http://www.nuveen.com"
"514","https://finance.yahoo.com/quote/NHA","http://www.nuveen.com"
"515","https://finance.yahoo.com/quote/NZF","http://www.nuveen.com"
"516","https://finance.yahoo.com/quote/NMZ","http://www.nuveen.com"
"517","https://finance.yahoo.com/quote/NMI","http://www.nuveen.com"
"518","https://finance.yahoo.com/quote/NJV","http://www.nuveen.com"
"519","https://finance.yahoo.com/quote/NXJ","http://www.nuveen.com"
"520","https://finance.yahoo.com/quote/NRK","http://www.nuveen.com"
"521","https://finance.yahoo.com/quote/NYV","http://www.nuveen.com"
