"","ticker","finance_site","website","description","keywords"
"867","SNHY","https://finance.yahoo.com/quote/SNHY","http://www.heliostechnologies.com","Helios Technologies (formerly Sun Hydraulics Corporation) is a global industrial technology leader that develops and manufactures hydraulic and electronic control solutions for diverse markets.",NA
"868","SNDE","https://finance.yahoo.com/quote/SNDE","http://www.sundanceenergy.com.au",NA,NA
"869","SNSS","https://finance.yahoo.com/quote/SNSS","http://www.sunesis.com","Sunesis - an emerging pharmaceutical company creating new medicines to improve the lives of people with cancer","Sunesis, Sunesis Pharmaceuticals, clinical-stage, pharmaceutical company, discovery, development, commercialization, small molecule therapeutics for oncology, cancer medicines, cancer treatments"
"870","STKL","https://finance.yahoo.com/quote/STKL","http://www.sunopta.com",NA,NA
"871","SPWR","https://finance.yahoo.com/quote/SPWR","http://global.sunpower.com","SunPower provides high-efficiency solar panels for homes and businesses. Discover why SunPower is the world standard for solar energy and panels globally.",NA
"872","RUN","https://finance.yahoo.com/quote/RUN","http://www.sunrun.com","Sunrun is the #1 home solar panel company that allows you to lock in low energy rates. Take control of your electric bill. Ask about our home battery today.","solar panels, solar energy company, solar panel company, solar lease, solar ppa, buy solar system"
"873","SUNW","https://finance.yahoo.com/quote/SUNW","http://sunworksusa.com","Sunworks is a premier provider of high performance solar power solutions.",NA
"874","SLGG","https://finance.yahoo.com/quote/SLGG","http://www.superleague.com","Super League is a Community. For Gamers. For Competitors. For Fans. For Friends.",NA
"875","SPCB","https://finance.yahoo.com/quote/SPCB","http://www.supercom.com","SuperCom is a global leader providing integrated solutions for tracking and identification including E-government , Electronic Monitoring, Cyber security and Land managment."," ID, M2M, IOT, Secure Payments, Cyber security, Land GIS, סופרקום"
"876","SCON","https://finance.yahoo.com/quote/SCON","http://www.suptech.com",NA,"Superconductors, Superconductor, Superconducting materials, HTS Materials, Superconducting Generator, Motor, Wire, LTS, Conductus, STI, Tape, High Field, Magnet, Cryocooler, SCON, Transmission, Power Cables, AC Power Cables, SFCL, Fault Current Limiter, HTS filter, HTS technology, 2G HTS Wire, 2G, HTS, Cryogenic, Cryocooler, Wireless, Clean Alternative Energy, Electric Power, Green, Government, Emerging power, RF Filtering, cryogenic technology, Santa Barbara, Austin, Superconductor Technologies, innovative"
