Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Exchange,CIK,SIC
USIG,iShares Broad USD Investment Grade Corporate Bond ETF,55.42,3139543000,,,,,https://www.nasdaq.com/symbol/usig,NASDAQ,,
COMT,iShares Commodities Select Strategy ETF,32.01,332904000,,,,,https://www.nasdaq.com/symbol/comt,NASDAQ,,
ISTB,iShares Core 1-5 Year USD Bond ETF,49.89,2629203000,,,,,https://www.nasdaq.com/symbol/istb,NASDAQ,,
IXUS,iShares Core MSCI Total International Stock ETF,56.96,13989376000,,,,,https://www.nasdaq.com/symbol/ixus,NASDAQ,,
IUSG,iShares Core S&P U.S. Growth ETF,60.68,6186326000,,,,,https://www.nasdaq.com/symbol/iusg,NASDAQ,,
IUSV,iShares Core S&P U.S. Value ETF,54.39,5351976000,,,,,https://www.nasdaq.com/symbol/iusv,NASDAQ,,
IUSB,iShares Core Total USD Bond Market ETF,50.759,3542978200,,,,,https://www.nasdaq.com/symbol/iusb,NASDAQ,,
HEWG,iShares Currency Hedged MSCI Germany ETF,26.86,188020000,,,,,https://www.nasdaq.com/symbol/hewg,NASDAQ,,
SUSB,iShares ESG 1-5 Year USD Corporate Bond ETF,25.05,91432500,,,,,https://www.nasdaq.com/symbol/susb,NASDAQ,,
ESGD,iShares ESG MSCI EAFE ETF,63.13,795438000,,,,,https://www.nasdaq.com/symbol/esgd,NASDAQ,,
ESGE,iShares ESG MSCI EM ETF,31.91,567998000,,,,,https://www.nasdaq.com/symbol/esge,NASDAQ,,
ESGU,iShares ESG MSCI USA ETF,62.16,214452000,,,,,https://www.nasdaq.com/symbol/esgu,NASDAQ,,
SUSL,iShares ESG MSCI USA Leaders ETF,48.6899,1163688610,,,,,https://www.nasdaq.com/symbol/susl,NASDAQ,,
SUSC,iShares ESG USD Corporate Bond ETF,25.025,33783750,,,,,https://www.nasdaq.com/symbol/susc,NASDAQ,,
XT,iShares Exponential Technologies ETF,36.78,2289555000,,,,,https://www.nasdaq.com/symbol/xt,NASDAQ,,
FALN,iShares Fallen Angels USD Bond ETF,26.1901,91665350,,,,,https://www.nasdaq.com/symbol/faln,NASDAQ,,
IFEU,iShares FTSE EPRA/NAREIT Europe Index Fund,37.8378,26486460,,,,,https://www.nasdaq.com/symbol/ifeu,NASDAQ,,
IFGL,iShares FTSE EPRA/NAREIT Global Real Estate ex-U.S. Index Fund,30.08,424128000,,,,,https://www.nasdaq.com/symbol/ifgl,NASDAQ,,
BGRN,iShares Global Green Bond ETF,52.998,26499000,,,,,https://www.nasdaq.com/symbol/bgrn,NASDAQ,,
IGF,iShares Global Infrastructure ETF,45.45,2886075000,,,,,https://www.nasdaq.com/symbol/igf,NASDAQ,,
GNMA,iShares GNMA Bond ETF,49.596,123990000,,,,,https://www.nasdaq.com/symbol/gnma,NASDAQ,,
HYXE,iShares iBoxx $ High Yield ex Oil & Gas Corporate Bond ETF,50.88,10176000,,,,,https://www.nasdaq.com/symbol/hyxe,NASDAQ,,
IGIB,iShares Intermediate-Term Corporate Bond ETF,55.42,6187643000,,,,,https://www.nasdaq.com/symbol/igib,NASDAQ,,
IGOV,iShares International Treasury Bond ETF,49.06,895345000,,,,,https://www.nasdaq.com/symbol/igov,NASDAQ,,
EMB,iShares J.P. Morgan USD Emerging Markets Bond ETF,109.48,14495152000,,,,,https://www.nasdaq.com/symbol/emb,NASDAQ,,
MBB,iShares MBS ETF,106.52,16350820000,,,,,https://www.nasdaq.com/symbol/mbb,NASDAQ,,
JKI,iShares Morningstar Mid-Cap ETF,152.82,443178000,,,,,https://www.nasdaq.com/symbol/jki,NASDAQ,,
ACWX,iShares MSCI ACWI ex US Index Fund,45.38,3594096000,,,,,https://www.nasdaq.com/symbol/acwx,NASDAQ,,
ACWI,iShares MSCI ACWI Index Fund,71.49,10337454000,,,,,https://www.nasdaq.com/symbol/acwi,NASDAQ,,
