,cik-year,Sector 1,Sector 2,Sector 3,Sector 4,Sector 5,Sector 6,Sector 7,Sector 8,Sector 9,Sector 10
13752,77877-2013,4.63419453854085,4.606677920621912,4.251154379752948,4.539409957531178,4.465073523564449,5.208833662094417,4.5817237701949,5.12912164756252,4.619531538610319,4.592608432331214
13753,77877-2014,4.65022799874316,4.630094649648742,4.2695176688362455,4.547690804897956,4.494987600159954,5.289721210351315,4.602426924002605,5.207525567146868,4.673719248883751,4.700273195270024
13754,77877-2015,4.56724081291578,4.545747260655597,4.17814139358441,4.437750011291663,4.411706143705073,5.267075229250353,4.485327754012284,5.073904867401699,4.65323732321491,4.62514714487047
13755,77877-2016,4.404848371821061,4.404274720686298,3.9991235463316803,4.285913736816419,4.231041860127028,5.148489350603574,4.323646100476791,4.9643141193654,4.51668179319181,4.501732422621886
13756,77877-2017,4.391578018981959,4.378861475225716,4.035164455465157,4.324314042932317,4.22938644497397,5.024039156716608,4.381787128292187,4.767599227483077,4.441909295129458,4.342321717380906
13757,77877-2018,4.334801281948341,4.341161670978452,3.966438339165028,4.235080721110287,4.214191433335449,5.106535500805897,4.346062076927003,4.989991892774157,4.479890691923893,4.4476533997996786
13758,779152-2008,4.15604811205683,4.178747225136728,3.725870976753049,3.8150478535825174,3.5550537187448894,4.963607540830594,3.906835747584564,4.792019364278752,4.435063426474325,4.335485788395383
13759,779152-2009,4.38163741401387,4.372549587318303,3.9473062088861277,4.036227612186776,3.7917214559418833,5.160397950971767,4.14358376525766,4.988246213046663,4.622599535898982,4.543418754318625
13760,779152-2010,4.47601130685692,4.473301773311492,4.040574191293106,4.139716628364487,3.892326825456313,5.213505611424897,4.2303516933887995,5.076475304145214,4.689247142927223,4.61094195211047
13761,779152-2011,4.62371205979679,4.589564506376444,4.170810964174004,4.274403979411256,4.0250432451540945,5.329197247015535,4.328016862960837,5.1414748084753255,4.778830168859905,4.708286150198346
13762,779152-2012,4.8169437025062285,4.768337341749079,4.3868199521124795,4.487559142666546,4.25077363673808,5.522110837668031,4.540867426483198,5.342299587888681,4.940251942655183,4.90988655301945
13763,779152-2013,4.723004823424628,4.683036520937283,4.2672038168149085,4.386615812903319,4.129095925801613,5.401549974717389,4.433543089225924,5.243295222239052,4.84655790331176,4.811174195748492
13764,779152-2014,4.685608147171762,4.656612904261649,4.236305419450753,4.357533476607292,4.107740866923107,5.433750362270807,4.396497971211791,5.2060239057473305,4.814672847336391,4.794014876915205
13765,779152-2015,4.688522971193509,4.664010034630847,4.2562401271487325,4.369136499247195,4.141860640079458,5.44985001827357,4.411884521387884,5.191132817548645,4.824444020347388,4.799015430177097
13766,779152-2016,4.767602126351987,4.69812673299777,4.314744188983609,4.435753957209435,4.186110965532418,5.471475152505094,4.455627125690558,5.228459250038048,4.882116630677676,4.819900401888195
13767,779152-2017,4.832127508188096,4.760526354746955,4.377349716383661,4.506503471208886,4.244551562867092,5.502875953872801,4.531645398925675,5.279647989379906,4.9338731404238025,4.882401703730996
13768,779152-2018,4.8138304137146415,4.702826166076504,4.331235296277979,4.485246508595729,4.190109214463496,5.483514941568889,4.4657053096814945,5.245986947689164,4.891684760881998,4.866689803582493
13769,779544-2008,4.219758467383489,4.011628108278785,3.624265631622724,4.008107297651574,3.8872620499802664,4.7982043755813555,4.132902272113076,4.85628317291328,4.44727607158425,4.421517096919687
13770,779544-2010,4.425629767973227,4.2177925669853,3.8540194985047873,4.2179523092377815,4.0953532445769065,4.9461939224533085,4.351763888980573,5.045439668425236,4.6416778819958795,4.64269358507294
13771,779544-2011,4.739571275454528,4.548258932398945,4.211944509932135,4.546712667132207,4.436829885754816,5.207917672933046,4.672346439816969,5.325548998025022,4.947166370235752,4.929193297938648
13772,779544-2011,4.629684873332201,4.409055705185694,4.091405414742185,4.437423363606646,4.320989819113001,5.126885574460571,4.551187889302786,5.21386893564166,4.840147749600248,4.81330098018943
13773,779544-2012,4.544912551196578,4.288030650019942,3.993359557316486,4.322829473984228,4.223463723686472,5.106081401893478,4.452725465200096,5.08474301515875,4.733907686106138,4.678319676270954
13774,779544-2013,4.696667436620897,4.426622493570281,4.159384032129975,4.474103267114747,4.390327414442669,5.23582673995351,4.591102329192026,5.201270794550315,4.869145641287123,4.831277735047469
13775,779544-2014,4.757482015235214,4.4763535515743405,4.233470862324339,4.545412623721958,4.462527140602872,5.257112312129678,4.657517977105798,5.221049293707554,4.94087505244385,4.897283701056788
