Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,CIK
DPHC,DiamondPeak Holdings Corp.,9.81,n/a,2019,Finance,Business Services,https://www.nasdaq.com/symbol/dphc,1759546
DPHCU,DiamondPeak Holdings Corp.,10.05,n/a,2019,Finance,Business Services,https://www.nasdaq.com/symbol/dphcu,1759546
DPHCW,DiamondPeak Holdings Corp.,0.88,n/a,2019,n/a,n/a,https://www.nasdaq.com/symbol/dphcw,1759546
DRAD,Digirad Corporation,0.7,$14.22M,2004,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://www.nasdaq.com/symbol/drad,707388
DRIO,DarioHealth Corp.,0.8302,$30.57M,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/drio,
DRIOW,DarioHealth Corp.,0.0402,n/a,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/driow,
DRIV,Global X Autonomous & Electric Vehicles ETF,12.9,$13.54M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/driv,1062530
DRNA,"Dicerna Pharmaceuticals, Inc.",10.775,$736.19M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/drna,1399529
DRRX,DURECT Corporation,0.7,$113.65M,2000,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/drrx,1082038
DRYS,DryShips Inc.,3.79,$329.3M,2005,Transportation,Marine Transportation,https://www.nasdaq.com/symbol/drys,1308858
DSGX,The Descartes Systems Group Inc.,39.34,$3.04B,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/dsgx,1050140
DSKE,"Daseke, Inc.",5.12,$330.22M,2015,Consumer Services,Transportation Services,https://www.nasdaq.com/symbol/dske,1642453
DSKEW,"Daseke, Inc.",0.37,n/a,2015,Consumer Services,Transportation Services,https://www.nasdaq.com/symbol/dskew,1642453
DSLV,Credit Suisse AG,32.26,$30.94M,n/a,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/dslv,1159510
DSPG,"DSP Group, Inc.",14.99,$339.16M,1994,Technology,Semiconductors,https://www.nasdaq.com/symbol/dspg,915778
DSWL,"Deswell Industries, Inc.",2.95,$46.86M,1995,Consumer Non-Durables,Plastic Products,https://www.nasdaq.com/symbol/dswl,946936
DTEA,DAVIDsTEA Inc.,1.25,$32.52M,2015,Consumer Non-Durables,Food Chains,https://www.nasdaq.com/symbol/dtea,1627606
DTIL,"Precision BioSciences, Inc.",13.15,$662.26M,2019,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/dtil,1357874
DTSS,Datasea Inc.,1.97,$41.26M,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/dtss,
DTUL,Barclays PLC,60.73,$5.04M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dtul,
DTUS,Barclays PLC,36.025,$4.63M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dtus,
DTYL,Barclays PLC,80.0152,$5.1M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dtyl,
