Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Exchange,CIK
NOMD,Nomad Foods Limited,21.54,4188497695.5,,2016,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/nomd,NYSE,0001651717
NMR,Nomura Holdings Inc ADR,3.22,10661905572.78,,,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/nmr,NYSE,0001163653
OSB,Norbord Inc.,21.1,1723207101.3,,,Basic Industries,Forest Products,https://www.nasdaq.com/symbol/osb,NYSE,0000877365
NAO,Nordic American Offshore Ltd.,4.48,83958206.08,,2014,Transportation,Marine Transportation,https://www.nasdaq.com/symbol/nao,NYSE,0001597659
NAT,Nordic American Tankers Limited,2.29,325110535.14,,,Consumer Services,Marine Transportation,https://www.nasdaq.com/symbol/nat,NYSE,0001000177
JWN,"Nordstrom, Inc.",33.5,5179100000,,,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/jwn,NYSE,0000072333
NSC,Norfolk Souther Corporation,199.27,52999251861.53,,,Transportation,Railroads,https://www.nasdaq.com/symbol/nsc,NYSE,0000702165
NOA,North American Construction Group Ltd.,11.23,306019352.95,,2006,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/noa,NYSE,0001272869
NRT,North European Oil Royality Trust,7.11,65345094.9,,,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/nrt,NYSE,0000072633
NOC,Northrop Grumman Corporation,312.07,52989385825.53,,,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/noc,NYSE,0001133421
NRE,NorthStar Realty Europe Corp.,16.97,853816989.49,,2015,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/nre,NYSE,0001646587
NWN,Northwest Natural Holding Company,69.82,2022386779.86,,,Public Utilities,Oil/Gas Transmission,https://www.nasdaq.com/symbol/nwn,NYSE,0001733998
NWE,NorthWestern Corporation,72.82,3673035702.6,,,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/nwe,NYSE,0000073088
NCLH,Norwegian Cruise Line Holdings Ltd.,55.38,11928597584.28,,,Consumer Services,Marine Transportation,https://www.nasdaq.com/symbol/nclh,NYSE,0001513761
NVS,Novartis AG,87.52,200796682646.4,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/nvs,NYSE,0001114448
NVO,Novo Nordisk A/S,48.59,115482949566.13,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/nvo,NYSE,0000353278
DNOW,NOW Inc.,13.51,1468809699.35,,2014,Energy,Metal Fabrications,https://www.nasdaq.com/symbol/dnow,NYSE,0001599617
NRG,"NRG Energy, Inc.",35.53,9491956144.99,,,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/nrg,NYSE,0001013871
NUS,"Nu Skin Enterprises, Inc.",49.78,2762122948,,1996,Health Care,Other Pharmaceuticals,https://www.nasdaq.com/symbol/nus,NYSE,0001021561
NUE,Nucor Corporation,51.16,15592835695.76,,,Basic Industries,Steel/Iron Ore,https://www.nasdaq.com/symbol/nue,NYSE,0000073309
NS,Nustar Energy L.P.,27.22,2933308996.1,,,Energy,Natural Gas Distribution,https://www.nasdaq.com/symbol/ns,NYSE,0001110805
NS^A,Nustar Energy L.P.,23.7928,0,,,,,https://www.nasdaq.com/symbol/ns^a,NYSE,0001110805
NS^B,Nustar Energy L.P.,21.07,0,,,,,https://www.nasdaq.com/symbol/ns^b,NYSE,0001110805
NS^C,Nustar Energy L.P.,24.3652,0,,,,,https://www.nasdaq.com/symbol/ns^c,NYSE,0001110805
NSS,"NuStar Logistics, L.P.",25.26,0,,,,,https://www.nasdaq.com/symbol/nss,NYSE,0000745026
NTR,Nutrien Ltd.,48.17,28209603312.09,,2018,Basic Industries,Agricultural Chemicals,https://www.nasdaq.com/symbol/ntr,NYSE,0001725964
JMLP,Nuveen All Cap Energy MLP Opportunities Fund,6.42,86671418.82,,2014,,,https://www.nasdaq.com/symbol/jmlp,NYSE,0001582817
NVG,Nuveen AMT-Free Municipal Credit Income Fund,15.63,3165901748.85,,2002,,,https://www.nasdaq.com/symbol/nvg,NYSE,0001090116
NUV,Nuveen AMT-Free Municipal Value Fund,10,2068754490,,1987,,,https://www.nasdaq.com/symbol/nuv,NYSE,0001450445
NUW,Nuveen AMT-Free Municipal Value Fund,16.5364,254646239.4776,,2009,,,https://www.nasdaq.com/symbol/nuw,NYSE,0001450445
NEA,Nuveen AMT-Free Quality Municipal Income Fund,13.49,3544101528.03,,2002,,,https://www.nasdaq.com/symbol/nea,NYSE,0001195737
NAZ,Nuveen Arizona Quality Municipal Income Fund,12.88,149036515.04,,1992,,,https://www.nasdaq.com/symbol/naz,NYSE,0000892992
NKX,Nuveen California AMT-Free Quality Municipal Income Fund,14.3,679540776.2,,2002,,,https://www.nasdaq.com/symbol/nkx,NYSE,0001195738
NCB,Nuveen California Municipal Value Fund 2,15.96,52684327.08,,,,,https://www.nasdaq.com/symbol/ncb,NYSE,0001454979
NCA,"Nuveen California Municipal Value Fund, Inc.",9.92,278662710.08,,,,,https://www.nasdaq.com/symbol/nca,NYSE,
NAC,Nuveen California Quality Municipal Income Fund,14.13,2045106383.67,,1999,,,https://www.nasdaq.com/symbol/nac,NYSE,0001074952
NTC,Nuveen Connecticut Quality Municipal Income Fund,13.03,186706557.28,,1993,,,https://www.nasdaq.com/symbol/ntc,NYSE,0000899752
JCE,Nuveen Core Equity Alpha Fund,13.68,219270878.64,,2007,,,https://www.nasdaq.com/symbol/jce,NYSE,0001385763
JCO,Nuveen Credit Opportunities 2022 Target Term Fund,9.7,268533044.3,,2017,,,https://www.nasdaq.com/symbol/jco,NYSE,0001686142
JQC,Nuveen Credit Strategies Income Fund,7.78,1055040276.2,,2003,,,https://www.nasdaq.com/symbol/jqc,NYSE,0001227476
JDD,Nuveen Diversified Dividend and Income Fund,10.59,209009715.03,,2003,,,https://www.nasdaq.com/symbol/jdd,NYSE,
DIAX,Nuveen Dow 30SM Dynamic Overwrite Fund,17.53,633063694.8,,2014,,,https://www.nasdaq.com/symbol/diax,NYSE,0001608742
JEMD,Nuveen Emerging Markets Debt 2022 Target Term Fund,8.54,121571597,,2017,,,https://www.nasdaq.com/symbol/jemd,NYSE,0001708261
JMF,Nuveen Energy MLP Total Return Fund,9.14,372790812.74,,2011,,,https://www.nasdaq.com/symbol/jmf,NYSE,0001502711
NEV,Nuveen Enhanced Municipal Value Fund,14.0201,349802448.3668,,2009,,,https://www.nasdaq.com/symbol/nev,NYSE,0001469392
JFR,Nuveen Floating Rate Income Fund,9.91,564062017.88,,2004,,,https://www.nasdaq.com/symbol/jfr,NYSE,0001276533
